"company","serial_number","name","asset","manufacturer","u_manufacturer_part_number","u_parent_asset","location"
"Island Health","1800999-0032","AO000192-CRT","AO000192-CRT","ERGOTRON","SV43-2570-0","AO000192","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1800999-0009","AO000193-CRT","AO000193-CRT","ERGOTRON","SV43-2570-0","AO000193","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor"
"Island Health","1841714-0104","AO000195-CRT","AO000195-CRT","ERGOTRON","C50-3500-0","AO000195","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor"
"Island Health","1800999-0006","AO000197-CRT","AO000197-CRT","ERGOTRON","SV43-2570-0","AO000197","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1800998-0022","AO000199-CRT","AO000199-CRT","ERGOTRON","SV43-2570-0","AO000199LEG","VIHA-RJH-Royal Jubilee Hospital"
"Island Health","1800998-0017","AO000200-CRT","AO000200-CRT","ERGOTRON","SV43-2570-0","AO000200","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1826512-0013","AO000201-CRT","AO000201-CRT","ERGOTRON","C50-3510-0","AO000201","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1800999-0027","AO000202-CRT","AO000202-CRT","ERGOTRON","SV43-2570-0","AO000202","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor"
"Island Health","TEMPVIHA014","AO000203-CRT","AO000203-CRT","ERGOTRON","SV43-2570-0","AO000203","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1800999-0008","AO000204-CRT","AO000204-CRT","ERGOTRON","SV43-2570-0","AO000204","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1800999-0034","AO000205-CRT","AO000205-CRT","ERGOTRON","SV43-2570-0","AO000205","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1801000-0037","AO000206-CRT","AO000206-CRT","ERGOTRON","SV43-2570-0","AO000206","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1826513-0106","AO000207-CRT","AO000207-CRT","ERGOTRON","C50-3500-0","AO000207","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1297846-0035","AO000208-CRT","AO000208-CRT","ERGOTRON","SV43-2570-0","AO000208","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor"
